customer_id,first_purchase_date,last_purchase_date,total_transactions,total_spend,avg_order_value,quantity_total,discount_usage_rate,active_months,customer_lifespan_days,days_since_last_purchase,churn_label,clv_proxy,transactions_last_90_days,spend_last_90_days
C0001,2025-04-05,2025-12-23,21,55248.24,2630.87,36,11.6667,8,262,8,0,36832.18,10,24518.46
C0002,2025-01-15,2025-10-11,9,20326.71,2258.52,17,16.6667,7,269,81,0,11857.23,1,2439.62
C0003,2025-07-31,2025-12-27,8,12606.88,1575.86,12,13.125,5,149,4,0,5252.87,3,3724.36
C0004,2025-04-13,2025-11-14,8,12621.61,1577.7,14,16.875,6,215,47,0,6310.8,1,920.37
C0005,2025-04-02,2025-12-28,21,127498.73,6071.37,46,12.1429,7,270,3,0,74374.28,8,47275.51
C0006,2025-04-01,2025-12-28,19,96624.35,5085.49,44,9.7368,7,271,3,0,56364.18,4,13773.1
C0007,2025-03-03,2025-12-13,22,132697.81,6031.72,53,12.7273,8,285,18,0,88465.23,6,35664.98
C0008,2025-01-22,2025-06-20,8,16204.23,2025.53,10,11.25,6,149,194,1,8102.12,0,0.0
C0009,2025-01-26,2025-10-12,13,23467.51,1805.19,24,12.6923,9,259,80,0,17600.6,1,1967.34
C0010,2025-03-23,2025-10-23,5,7055.68,1411.14,7,13.0,5,214,69,0,2939.88,1,1233.49
C0011,2025-02-07,2025-11-22,23,124875.83,5429.38,47,11.3043,10,288,39,0,104063.12,6,31201.92
C0012,2025-03-20,2025-11-28,10,17102.42,1710.24,17,15.5,6,253,33,0,8551.2,4,7812.77
C0013,2025-03-30,2025-10-26,8,12396.78,1549.6,11,8.75,5,210,66,0,5165.33,2,4875.35
C0014,2025-04-04,2025-11-27,16,45382.62,2836.41,28,12.1875,7,237,34,0,26473.16,4,10908.35
C0015,2025-03-16,2025-11-27,17,44478.94,2616.41,34,9.4118,8,256,34,0,29652.65,4,9591.0
C0016,2025-02-25,2025-11-24,15,43029.94,2868.66,25,8.6667,8,272,37,0,28686.6,4,9819.72
C0017,2025-05-10,2025-12-30,14,41373.17,2955.23,24,10.7143,7,234,1,0,24134.38,5,13310.16
C0018,2025-04-06,2025-12-11,5,6257.03,1251.41,7,16.0,5,249,20,0,2607.1,1,1682.6
C0019,2025-03-21,2025-12-30,21,57315.36,2729.3,37,10.9524,10,284,1,0,47762.75,7,17253.03
C0020,2025-03-09,2025-11-10,8,22584.14,2823.02,18,7.5,5,246,51,0,9410.07,2,4968.6
C0021,2025-03-15,2025-08-23,10,14859.87,1485.99,23,11.5,6,161,130,1,7429.95,0,0.0
C0022,2025-03-14,2025-12-18,17,75091.72,4417.16,35,15.0,7,279,13,0,43803.5,5,21926.11
C0023,2025-04-30,2025-12-30,16,51442.72,3215.17,25,12.1875,7,244,1,0,30008.25,11,32639.08
C0024,2025-03-06,2025-12-22,14,36661.11,2618.65,24,12.5,8,291,9,0,24440.73,5,12522.19
C0025,2025-06-22,2025-12-24,9,30402.95,3378.11,19,15.0,4,185,7,0,10134.33,7,23568.06
C0026,2025-04-18,2025-10-31,6,12636.35,2106.06,9,11.6667,5,196,61,0,5265.15,1,2917.48
C0027,2025-05-07,2025-12-12,14,44051.82,3146.56,22,9.6429,8,219,19,0,29367.89,7,20014.68
C0028,2025-05-29,2025-11-30,6,9343.38,1557.23,12,11.6667,5,185,31,0,3893.08,1,1609.65
C0029,2025-03-10,2025-12-07,6,8873.47,1478.91,7,6.6667,6,272,24,0,4436.73,1,1141.59
C0030,2025-04-27,2025-12-29,15,69010.07,4600.67,31,8.3333,9,246,2,0,51757.54,6,26338.21
