customer_id,last_purchase_date,first_purchase_date,total_transactions,total_spend,avg_order_value,active_months,quantity_total,discount_usage_rate,days_since_last_purchase,customer_lifespan_days,churn_label,clv_proxy,transactions_last_90_days,spend_last_90_days,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C0001,2025-12-23,2025-04-05,21,55248.24,2630.868571428571,8,36,11.666666666666666,8,262,0,36832.16,10.0,24518.46,8,21,55248.24,3,4,4,344,High-Value
C0002,2025-10-11,2025-01-15,9,20326.71,2258.523333333333,7,17,16.666666666666668,81,269,0,11857.25,1.0,2439.62,81,9,20326.71,1,2,2,122,At-Risk
C0003,2025-12-27,2025-07-31,8,12606.88,1575.86,5,12,13.125,4,149,0,5252.87,3.0,3724.36,4,8,12606.88,4,2,1,421,Repeat
C0004,2025-11-14,2025-04-13,8,12621.61,1577.70125,6,14,16.875,47,215,0,6310.8,1.0,920.37,47,8,12621.61,1,2,1,121,At-Risk
C0005,2025-12-28,2025-04-02,21,127498.73,6071.368095238095,7,46,12.142857142857142,3,270,0,74374.26,8.0,47275.51,3,21,127498.73,4,4,4,444,High-Value
C0006,2025-12-28,2025-04-01,19,96624.35,5085.492105263158,7,44,9.736842105263158,3,271,0,56364.2,4.0,13773.1,3,19,96624.35,4,4,4,444,High-Value
C0007,2025-12-13,2025-03-03,22,132697.81,6031.7186363636365,8,53,12.727272727272727,18,285,0,88465.21,6.0,35664.979999999996,18,22,132697.81,3,4,4,344,High-Value
C0008,2025-06-20,2025-01-22,8,16204.23,2025.52875,6,10,11.25,194,149,1,8102.12,0.0,0.0,194,8,16204.23,1,2,2,122,At-Risk
C0009,2025-10-12,2025-01-26,13,23467.51,1805.193076923077,9,24,12.692307692307692,80,259,0,17600.63,1.0,1967.34,80,13,23467.51,1,3,3,133,Low-Engagement
C0010,2025-10-23,2025-03-23,5,7055.68,1411.136,5,7,13.0,69,214,0,2939.87,1.0,1233.49,69,5,7055.68,1,1,1,111,At-Risk
C0011,2025-11-22,2025-02-07,23,124875.83,5429.383913043478,10,47,11.304347826086957,39,288,0,104063.19,6.0,31201.920000000002,39,23,124875.83,2,4,4,244,Low-Engagement
C0012,2025-11-28,2025-03-20,10,17102.42,1710.2419999999997,6,17,15.5,33,253,0,8551.21,4.0,7812.7699999999995,33,10,17102.42,2,2,2,222,At-Risk
C0013,2025-10-26,2025-03-30,8,12396.779999999999,1549.5974999999999,5,11,8.75,66,210,0,5165.32,2.0,4875.349999999999,66,8,12396.78,1,2,1,121,At-Risk
C0014,2025-11-27,2025-04-04,16,45382.62,2836.41375,7,28,12.1875,34,237,0,26473.2,4.0,10908.35,34,16,45382.62,2,4,3,243,Low-Engagement
C0015,2025-11-27,2025-03-16,17,44478.94,2616.4082352941177,8,34,9.411764705882353,34,256,0,29652.63,4.0,9591.0,34,17,44478.94,2,4,3,243,Low-Engagement
C0016,2025-11-24,2025-02-25,15,43029.94,2868.6626666666666,8,25,8.666666666666666,37,272,0,28686.63,4.0,9819.72,37,15,43029.94,2,3,3,233,Low-Engagement
C0017,2025-12-30,2025-05-10,14,41373.17,2955.2264285714286,7,24,10.714285714285714,1,234,0,24134.35,5.0,13310.16,1,14,41373.17,4,3,3,433,High-Value
C0018,2025-12-11,2025-04-06,5,6257.030000000001,1251.4060000000002,5,7,16.0,20,249,0,2607.1,1.0,1682.6,20,5,6257.03,3,1,1,311,Low-Engagement
C0019,2025-12-30,2025-03-21,21,57315.36,2729.302857142857,10,37,10.952380952380953,1,284,0,47762.8,7.0,17253.03,1,21,57315.36,4,4,4,444,High-Value
C0020,2025-11-10,2025-03-09,8,22584.14,2823.0175,5,18,7.5,51,246,0,9410.06,2.0,4968.6,51,8,22584.14,1,2,2,122,At-Risk
C0021,2025-08-23,2025-03-15,10,14859.869999999999,1485.9869999999999,6,23,11.5,130,161,1,7429.94,0.0,0.0,130,10,14859.87,1,2,2,122,At-Risk
C0022,2025-12-18,2025-03-14,17,75091.72,4417.16,7,35,15.0,13,279,0,43803.5,5.0,21926.11,13,17,75091.72,3,4,4,344,High-Value
C0023,2025-12-30,2025-04-30,16,51442.72,3215.17,7,25,12.1875,1,244,0,30008.25,11.0,32639.079999999998,1,16,51442.72,4,3,3,433,High-Value
C0024,2025-12-22,2025-03-06,14,36661.11,2618.6507142857145,8,24,12.5,9,291,0,24440.74,5.0,12522.19,9,14,36661.11,3,3,3,333,High-Value
C0025,2025-12-24,2025-06-22,9,30402.95,3378.105555555556,4,19,15.0,7,185,0,10134.32,7.0,23568.059999999998,7,9,30402.95,4,2,3,423,Repeat
C0026,2025-10-31,2025-04-18,6,12636.349999999999,2106.058333333333,5,9,11.666666666666666,61,196,0,5265.15,1.0,2917.48,61,6,12636.35,1,1,1,111,At-Risk
C0027,2025-12-12,2025-05-07,14,44051.82,3146.558571428571,8,22,9.642857142857142,19,219,0,29367.88,7.0,20014.68,19,14,44051.82,3,3,3,333,High-Value
C0028,2025-11-30,2025-05-29,6,9343.38,1557.2299999999998,5,12,11.666666666666666,31,185,0,3893.08,1.0,1609.65,31,6,9343.38,2,1,1,211,At-Risk
C0029,2025-12-07,2025-03-10,6,8873.47,1478.9116666666666,6,7,6.666666666666667,24,272,0,4436.73,1.0,1141.59,24,6,8873.47,2,1,1,211,At-Risk
C0030,2025-12-29,2025-04-27,15,69010.07,4600.671333333334,9,31,8.333333333333334,2,246,0,51757.55,6.0,26338.21,2,15,69010.07,4,3,4,434,High-Value
C0031,2025-10-29,2025-05-05,6,10513.84,1752.3066666666666,5,12,11.666666666666666,63,177,0,4380.77,2.0,1938.47,63,6,10513.84,1,1,1,111,At-Risk
C0032,2025-12-15,2025-02-26,19,112386.07,5915.056315789474,11,46,10.263157894736842,16,292,0,103020.56,9.0,49412.55,16,19,112386.07,3,4,4,344,High-Value
C0033,2025-12-19,2025-01-20,13,75116.95,5778.2269230769225,7,26,9.23076923076923,12,333,0,43818.22,3.0,22173.59,12,13,75116.95,3,3,4,334,High-Value
C0034,2025-11-21,2025-04-02,7,12130.560000000001,1732.937142857143,7,9,13.571428571428571,40,233,0,7076.16,2.0,4902.1,40,7,12130.56,2,1,1,211,At-Risk
C0035,2025-12-25,2025-04-22,15,26806.52,1787.1013333333333,6,24,14.333333333333334,6,247,0,13403.26,4.0,7144.29,6,15,26806.52,4,3,3,433,High-Value
C0036,2025-12-21,2025-06-19,9,16142.59,1793.621111111111,6,14,11.666666666666666,10,185,0,8071.3,4.0,5902.360000000001,10,9,16142.59,3,2,2,322,Repeat
C0037,2025-11-21,2025-01-25,13,44194.35,3399.5653846153846,8,20,11.538461538461538,40,300,0,29462.9,3.0,10834.94,40,13,44194.35,2,3,3,233,Low-Engagement
C0038,2025-12-21,2025-03-01,24,134430.09,5601.25375,9,50,12.083333333333334,10,295,0,100822.57,10.0,60550.840000000004,10,24,134430.09,3,4,4,344,High-Value
C0039,2025-05-14,2025-05-14,1,2061.41,2061.41,1,1,10.0,231,0,1,171.78,0.0,0.0,231,1,2061.41,1,1,1,111,At-Risk
C0040,2025-10-22,2025-01-21,13,35989.11,2768.393076923077,8,24,10.76923076923077,70,274,0,23992.74,3.0,8938.06,70,13,35989.11,1,3,3,133,Low-Engagement
C0041,2025-11-30,2025-05-21,11,52384.59,4762.235454545455,6,23,11.363636363636363,31,193,0,26192.3,2.0,7952.889999999999,31,11,52384.59,2,2,3,223,Low-Engagement
C0042,2025-12-22,2025-03-30,18,39411.02,2189.5011111111107,7,31,12.5,9,267,0,22989.76,5.0,14817.09,9,18,39411.02,3,4,3,343,High-Value
C0043,2025-12-15,2025-02-01,19,92809.45999999999,4884.708421052631,10,36,10.0,16,317,0,77341.22,5.0,23838.79,16,19,92809.46,3,4,4,344,High-Value
C0044,2025-08-06,2025-08-06,1,1631.35,1631.35,1,1,10.0,147,0,1,135.95,0.0,0.0,147,1,1631.35,1,1,1,111,At-Risk
C0045,2025-12-31,2025-04-19,16,37531.26,2345.70375,8,31,10.625,0,256,0,25020.84,3.0,6796.2,0,16,37531.26,4,4,3,443,High-Value
C0046,2025-12-15,2025-02-23,8,12750.76,1593.845,8,12,10.0,16,295,0,8500.51,2.0,3639.01,16,8,12750.76,3,2,1,321,Repeat
C0047,2025-12-15,2025-02-27,13,36938.78,2841.444615384615,8,29,12.692307692307692,16,291,0,24625.85,3.0,6811.469999999999,16,13,36938.78,3,3,3,333,High-Value
C0048,2025-12-21,2025-04-09,12,16806.22,1400.5183333333334,7,15,12.5,10,256,0,9803.63,4.0,5454.58,10,12,16806.22,3,3,2,332,Repeat
C0049,2025-08-24,2025-04-11,6,12378.49,2063.0816666666665,4,10,15.0,129,135,1,4126.16,0.0,0.0,129,6,12378.49,1,1,1,111,At-Risk
C0050,2025-11-02,2025-03-01,10,31320.68,3132.068,5,19,5.0,59,246,0,13050.28,1.0,3413.02,59,10,31320.68,1,2,3,123,Low-Engagement
C0051,2025-10-15,2025-03-15,15,23274.22,1551.6146666666668,7,23,15.0,77,214,0,13576.63,2.0,1889.71,77,15,23274.22,1,3,3,133,Low-Engagement
C0052,2025-12-08,2025-04-03,4,4683.429999999999,1170.8574999999998,4,6,11.25,23,249,0,1561.14,2.0,1444.8400000000001,23,4,4683.43,2,1,1,211,At-Risk
C0053,2025-12-23,2025-04-02,17,32192.309999999998,1893.665294117647,8,33,12.352941176470589,8,265,0,21461.54,6.0,11124.84,8,17,32192.31,3,4,3,343,High-Value
C0054,2025-12-26,2025-03-22,11,18927.73,1720.7027272727273,7,18,17.727272727272727,5,279,0,11041.18,4.0,5528.38,5,11,18927.73,4,3,2,432,Repeat
C0055,2025-12-14,2025-04-30,8,17283.79,2160.47375,6,14,8.75,17,228,0,8641.9,2.0,3004.02,17,8,17283.79,3,2,2,322,Repeat
C0056,2025-08-14,2025-01-30,8,14590.49,1823.81125,5,12,14.375,139,196,1,6079.37,0.0,0.0,139,8,14590.49,1,2,2,122,At-Risk
C0057,2025-12-31,2025-04-18,26,133414.48,5131.326153846154,8,56,12.692307692307692,0,257,0,88942.99,10.0,44308.53,0,26,133414.48,4,4,4,444,High-Value
C0058,2025-12-08,2025-02-12,11,34142.74,3103.885454545454,9,19,10.0,23,299,0,25607.06,2.0,6410.49,23,11,34142.74,2,2,3,223,Low-Engagement
C0059,2025-12-18,2025-01-29,19,115676.96,6088.261052631579,12,43,11.842105263157896,13,323,0,115676.96,6.0,38544.15,13,19,115676.96,3,4,4,344,High-Value
C0060,2025-12-16,2025-04-11,10,22106.05,2210.605,6,17,9.5,15,249,0,11053.02,3.0,5950.72,15,10,22106.05,3,2,2,322,Repeat
C0061,2025-12-19,2025-05-17,16,37048.05,2315.503125,7,26,12.8125,12,216,0,21611.36,8.0,19881.8,12,16,37048.05,3,4,3,343,High-Value
C0062,2025-12-23,2025-05-08,12,37134.96,3094.58,6,22,7.916666666666667,8,229,0,18567.48,4.0,13668.18,8,12,37134.96,3,3,3,333,High-Value
C0063,2025-12-10,2025-06-22,14,20245.45,1446.1035714285715,7,19,11.785714285714286,21,171,0,11809.85,4.0,6831.78,21,14,20245.45,2,3,2,232,Low-Engagement
C0064,2025-12-26,2025-03-01,10,28962.25,2896.225,5,17,10.0,5,300,0,12067.6,5.0,14526.939999999999,5,10,28962.25,4,2,3,423,Repeat
C0065,2025-11-12,2025-03-13,14,43320.26,3094.304285714286,7,19,10.714285714285714,49,244,0,25270.15,3.0,8393.03,49,14,43320.26,1,3,3,133,Low-Engagement
