transaction_id,customer_id,transaction_date,order_value,quantity,product_category,payment_method,channel,discount_used_pct,customer_profile_segment,customer_city,customer_state,signup_date
T005376,C0514,2025-01-05,1291.11,1,Beauty,Net Banking,Web,10,at_risk,Hyderabad,West Bengal,2025-01-04
T013509,C0594,2025-01-05,881.92,2,Fashion,UPI,Web,15,repeat,Chennai,Gujarat,2025-01-03
T002689,C0972,2025-01-06,298.29,2,Groceries,UPI,Web,10,at_risk,Chennai,Telangana,2025-01-02
T004338,C0805,2025-01-06,2512.8,2,Electronics,UPI,App,25,repeat,Kolkata,Tamil Nadu,2025-01-06
T003493,C0451,2025-01-07,80.0,1,Fashion,UPI,Store,10,low_engagement,Bengaluru,Maharashtra,2025-01-03
T007394,C0450,2025-01-07,7375.23,2,Electronics,Credit Card,App,10,high_value,Bengaluru,Delhi,2025-01-01
T009141,C0580,2025-01-07,1033.93,1,Sports,Debit Card,Web,0,repeat,Hyderabad,Maharashtra,2025-01-06
T004911,C0516,2025-01-08,4237.71,1,Fashion,Credit Card,App,25,high_value,Hyderabad,West Bengal,2025-01-01
T013802,C0514,2025-01-08,168.28,1,Home,Credit Card,Web,10,at_risk,Hyderabad,West Bengal,2025-01-04
T004581,C0227,2025-01-09,701.46,2,Groceries,Wallet,App,15,at_risk,Hyderabad,Delhi,2025-01-07
T009484,C0594,2025-01-09,1499.88,1,Electronics,UPI,App,5,repeat,Chennai,Gujarat,2025-01-03
T014076,C0072,2025-01-09,2569.53,2,Fashion,Credit Card,Web,20,repeat,Pune,Gujarat,2025-01-07
T001919,C0611,2025-01-10,7733.69,1,Electronics,Credit Card,App,0,high_value,Hyderabad,Tamil Nadu,2025-01-03
T008853,C1052,2025-01-10,175.15,2,Electronics,Debit Card,Web,0,low_engagement,Kolkata,Karnataka,2025-01-08
T014217,C1033,2025-01-10,2476.22,3,Fashion,UPI,Web,0,repeat,Ahmedabad,Tamil Nadu,2025-01-03
T001125,C0580,2025-01-11,4102.43,1,Sports,Net Banking,Web,20,repeat,Hyderabad,Maharashtra,2025-01-06
T012027,C0192,2025-01-11,2348.69,2,Beauty,UPI,App,0,at_risk,Hyderabad,Karnataka,2025-01-11
T010523,C0263,2025-01-12,6356.28,1,Groceries,Wallet,Web,10,high_value,Pune,Delhi,2025-01-08
T002164,C0926,2025-01-13,2247.72,1,Groceries,UPI,App,0,high_value,Delhi,Maharashtra,2025-01-11
T003554,C0124,2025-01-13,5709.96,1,Sports,Credit Card,Store,0,high_value,Chennai,West Bengal,2025-01-11
T013830,C1152,2025-01-13,2563.22,1,Sports,UPI,Web,20,at_risk,Mumbai,Gujarat,2025-01-13
T014277,C0617,2025-01-13,3283.59,2,Home,UPI,App,10,high_value,Delhi,Telangana,2025-01-06
T014375,C0805,2025-01-13,1145.18,1,Electronics,Wallet,App,25,repeat,Kolkata,Tamil Nadu,2025-01-06
T001138,C1195,2025-01-14,6499.25,2,Home,Credit Card,Web,5,high_value,Ahmedabad,Karnataka,2025-01-13
T004994,C1038,2025-01-14,2276.29,1,Home,Debit Card,Web,25,low_engagement,Ahmedabad,Delhi,2025-01-11
T006846,C0600,2025-01-14,5060.87,2,Groceries,Wallet,App,0,high_value,Hyderabad,West Bengal,2025-01-04
T009828,C0805,2025-01-14,4360.47,1,Fashion,UPI,App,15,repeat,Kolkata,Tamil Nadu,2025-01-06
T011123,C0565,2025-01-14,3854.77,2,Groceries,Credit Card,Store,20,repeat,Hyderabad,Telangana,2025-01-10
T012202,C0707,2025-01-14,3150.03,2,Fashion,Credit Card,Store,10,repeat,Hyderabad,Delhi,2025-01-06
T013158,C0565,2025-01-14,4978.63,2,Electronics,UPI,App,20,repeat,Hyderabad,Telangana,2025-01-10
T013481,C1038,2025-01-14,1545.15,1,Beauty,Credit Card,App,5,low_engagement,Ahmedabad,Delhi,2025-01-11
T001605,C0461,2025-01-15,6884.54,3,Fashion,UPI,App,15,high_value,Chennai,Tamil Nadu,2025-01-12
T007893,C0906,2025-01-15,2166.18,2,Beauty,Debit Card,App,15,at_risk,Chennai,Maharashtra,2025-01-10
T008709,C0882,2025-01-15,3165.68,2,Beauty,UPI,Web,15,low_engagement,Bengaluru,Karnataka,2025-01-04
T013845,C0002,2025-01-15,2924.06,1,Home,Wallet,Web,15,at_risk,Hyderabad,Karnataka,2025-01-11
T013994,C0819,2025-01-15,6719.19,3,Beauty,UPI,App,0,high_value,Chennai,Maharashtra,2025-01-11
T014249,C0192,2025-01-15,3029.21,3,Groceries,UPI,Web,25,at_risk,Hyderabad,Karnataka,2025-01-11
T014438,C0926,2025-01-15,4996.16,3,Sports,UPI,App,15,high_value,Delhi,Maharashtra,2025-01-11
T004019,C0724,2025-01-16,1739.99,1,Sports,UPI,Store,5,low_engagement,Bengaluru,Gujarat,2025-01-09
T005435,C0298,2025-01-16,2752.21,3,Beauty,Debit Card,App,15,repeat,Chennai,Tamil Nadu,2025-01-02
T007939,C0558,2025-01-16,5343.61,1,Electronics,UPI,Store,5,high_value,Ahmedabad,Tamil Nadu,2025-01-05
T009827,C0432,2025-01-16,1556.22,2,Sports,UPI,Web,20,low_engagement,Mumbai,Tamil Nadu,2025-01-07
T001830,C0749,2025-01-17,3196.88,1,Sports,Credit Card,Web,15,at_risk,Hyderabad,Delhi,2025-01-15
T003217,C0753,2025-01-17,1629.99,1,Electronics,UPI,App,10,low_engagement,Bengaluru,Telangana,2025-01-10
T007179,C0192,2025-01-17,80.0,1,Home,Credit Card,App,15,at_risk,Hyderabad,Karnataka,2025-01-11
T006073,C0893,2025-01-18,1194.07,1,Electronics,Credit Card,App,5,at_risk,Hyderabad,Maharashtra,2025-01-13
T010298,C0458,2025-01-18,1873.09,1,Home,Debit Card,Store,5,repeat,Kolkata,Telangana,2025-01-13
T001837,C0195,2025-01-19,2339.93,2,Sports,UPI,Store,10,repeat,Mumbai,Maharashtra,2025-01-03
T002190,C0673,2025-01-19,3714.04,1,Electronics,Wallet,App,0,high_value,Hyderabad,Telangana,2025-01-14
T004500,C0437,2025-01-19,3071.38,1,Groceries,Credit Card,Web,5,high_value,Delhi,Karnataka,2025-01-02
T009171,C0124,2025-01-19,5445.85,4,Fashion,Credit Card,Store,20,high_value,Chennai,West Bengal,2025-01-11
T009703,C1068,2025-01-19,1499.38,2,Groceries,Credit Card,Web,15,high_value,Mumbai,Delhi,2025-01-13
T010319,C1033,2025-01-19,3852.58,3,Home,UPI,App,0,repeat,Ahmedabad,Tamil Nadu,2025-01-03
T011115,C0079,2025-01-19,4676.91,2,Beauty,UPI,Web,5,repeat,Bengaluru,Tamil Nadu,2025-01-13
T011498,C1195,2025-01-19,8898.29,1,Sports,Credit Card,Web,25,high_value,Ahmedabad,Karnataka,2025-01-13
T011779,C0402,2025-01-19,2585.93,1,Beauty,Wallet,Web,25,at_risk,Bengaluru,Karnataka,2025-01-10
T012914,C0241,2025-01-19,2149.24,2,Beauty,Wallet,App,20,at_risk,Ahmedabad,Maharashtra,2025-01-19
T001715,C0622,2025-01-20,1835.44,1,Groceries,Wallet,Store,15,repeat,Kolkata,Gujarat,2025-01-03
T002225,C0643,2025-01-20,2895.21,1,Sports,UPI,Store,10,repeat,Ahmedabad,Delhi,2025-01-15
